round,accuracy
1,15.9800
2,18.9900
3,20.6000
4,21.0800
5,22.0700
6,23.3500
7,24.6000
8,25.1900
9,26.4300
10,26.9600
11,27.8400
12,28.0600
13,28.6200
14,29.0000
15,29.3000
16,29.6900
17,29.8000
18,30.2500
19,30.5400
20,30.5900
21,31.1800
22,31.7400
23,31.9400
24,32.2300
25,32.6100
26,32.9800
27,33.2100
28,33.5400
29,33.9300
30,34.0200
31,34.0100
32,34.4100
33,34.6100
34,34.4700
35,34.8800
36,34.8500
37,35.0600
38,35.2500
39,35.5100
40,35.7300
41,35.8800
42,35.8500
43,35.9700
44,35.9700
45,36.3400
46,36.3000
47,36.4700
48,36.5900
49,36.7900
50,36.8500
51,37.3500
52,37.1600
53,37.5700
54,37.3500
55,37.4000
56,37.3700
57,37.5900
58,37.8000
59,37.6400
60,37.4200
61,37.3500
62,37.8100
63,37.7300
64,37.8900
65,37.8700
66,37.6300
67,37.6100
68,37.6300
69,37.8500
70,37.7000
71,37.5500
72,37.3500
73,37.5500
74,37.6700
75,37.2900
76,37.4400
77,37.3600
78,37.3800
79,37.3900
80,37.4100
81,37.3600
82,37.5400
83,37.5300
84,37.4600
85,37.4800
86,37.5800
87,37.4300
88,37.3400
89,37.4500
90,37.5300
91,37.5400
92,37.5800
93,37.5700
94,37.6100
95,37.5300
96,37.5900
97,37.5400
98,37.6100
99,37.5300
100,37.5900
101,37.5900
102,37.6000
103,37.6100
104,37.6600
105,37.6700
106,37.7000
107,37.6300
108,37.5200
109,37.5900
110,37.6400
111,37.6300
112,37.6000
113,37.7100
114,37.7100
115,37.5900
116,37.6200
117,37.7400
118,37.6100
119,37.6700
120,37.6400
121,37.7300
122,37.6700
123,37.6200
124,37.6400
125,37.6900
126,37.6800
127,37.6300
128,37.6200
129,37.6500
130,37.7000
131,37.6200
132,37.6100
133,37.5700
134,37.6100
135,37.6700
136,37.6200
137,37.6700
138,37.5400
139,37.6700
140,37.6700
141,37.6700
142,37.6600
143,37.6600
144,37.5600
145,37.7500
146,37.6400
147,37.5900
148,37.6600
149,37.5700
150,37.6700
151,37.6300
152,37.6300
153,37.6600
154,37.6200
155,37.5700
156,37.6200
157,37.6400
158,37.6100
159,37.6000
160,37.6100
161,37.6300
162,37.6700
163,37.6400
164,37.6300
165,37.6400
166,37.6000
167,37.6300
168,37.6600
169,37.6300
170,37.6300
171,37.6800
172,37.6200
173,37.6800
174,37.6300
175,37.6200
176,37.6500
177,37.6200
178,37.6400
179,37.6000
180,37.5900
181,37.6300
182,37.5600
183,37.6000
184,37.6200
185,37.6100
186,37.5700
187,37.5700
188,37.6400
189,37.6200
190,37.6200
191,37.6000
192,37.5700
193,37.6300
194,37.6100
195,37.6000
196,37.5900
197,37.6600
198,37.6200
199,37.6200
200,37.6400
