round,accuracy
1,10.0900
2,10.0000
3,13.8300
4,17.5500
5,16.8800
6,16.6500
7,12.2600
8,13.4700
9,16.8600
10,17.4400
11,17.9600
12,10.3600
13,11.4400
14,17.0900
15,16.4900
16,16.0000
17,14.5900
18,16.0400
19,15.9400
20,10.6700
21,14.3400
22,16.0800
23,15.2600
24,11.9400
25,11.2600
26,10.7300
27,14.4200
28,13.3800
29,13.9200
30,12.2900
31,12.4500
32,13.8900
33,15.0600
34,10.1400
35,13.2800
36,12.7000
37,11.9400
38,15.8500
39,10.9100
40,13.7500
41,11.6900
42,14.6100
43,14.8300
44,14.5300
45,14.5100
46,10.4700
47,10.9300
48,10.9300
49,11.0000
50,12.9400
51,11.9200
52,14.9200
53,10.1400
54,15.3000
55,15.3900
56,11.9300
57,15.0000
58,16.1100
59,11.7000
60,10.3900
61,10.7900
62,14.6300
63,10.6700
64,10.3300
65,16.1200
66,16.7300
67,15.7800
68,11.3400
69,13.9700
70,10.7200
71,11.9900
72,13.9500
73,11.6800
74,10.1200
75,16.0100
76,10.3200
77,10.4200
78,10.2900
79,10.2400
80,10.0600
81,10.2100
82,12.4300
83,10.1000
84,12.0400
85,10.0400
86,10.3000
87,10.5100
88,10.8500
89,10.1000
90,10.6400
91,10.4800
92,16.1500
93,15.2700
94,10.0700
95,12.8200
96,13.7200
97,13.3300
98,14.3500
99,10.2500
100,15.6200
101,10.0200
102,12.0100
103,12.4100
104,12.8700
105,13.5500
106,13.5100
107,12.8700
108,14.2200
109,13.5900
110,13.7300
111,12.5500
112,14.2900
113,12.6700
114,10.0300
115,12.9700
116,14.0700
117,10.1200
118,13.3100
119,14.8100
120,10.1800
121,10.1600
122,10.0200
123,13.4900
124,13.7700
125,15.8500
126,14.6300
127,13.4000
128,13.3900
129,13.7700
130,10.1900
131,14.7700
132,13.5200
133,14.6800
134,10.5700
135,14.2600
136,14.3700
137,14.8500
138,10.1000
139,13.9400
140,13.6100
141,13.6500
142,16.8900
143,14.5400
144,15.1300
145,16.4100
146,10.0800
147,13.3200
148,13.5900
149,13.9100
150,10.4300
151,13.0400
152,10.1600
153,16.0300
154,15.4900
155,10.1800
156,10.1400
157,10.1900
158,10.2800
159,15.2600
160,10.0800
161,12.5300
162,10.2800
163,14.7700
164,10.6600
165,15.1800
166,10.3600
167,15.5900
168,17.1500
169,14.9600
170,14.2300
171,16.1600
172,10.0200
173,10.1600
174,10.2700
175,15.2100
176,14.7800
177,10.3400
178,10.1500
179,10.0200
180,9.9900
181,9.9900
182,12.6600
183,10.0700
184,13.1800
185,13.9000
186,13.7500
187,14.0800
188,10.0200
189,10.0400
190,10.2800
191,10.5100
192,10.4500
193,10.4700
194,10.5200
195,10.5400
196,10.3000
197,10.8900
198,10.8800
199,11.0100
200,10.2900
