round,accuracy
1,74.3400
2,90.2700
3,91.5800
4,90.5300
5,91.8100
6,89.6600
7,92.6300
8,94.3900
9,92.6400
10,94.4100
11,94.0400
12,94.6600
13,94.5600
14,94.3800
15,95.1600
16,94.7200
17,94.8800
18,95.2300
19,95.7600
20,95.2200
21,95.1000
22,95.6200
23,95.6000
24,95.1300
25,94.8700
26,96.5300
27,95.5300
28,96.5800
29,96.1400
30,95.8000
31,95.2500
32,96.3000
33,96.6300
34,96.8600
35,95.2800
36,95.7300
37,96.2900
38,96.9900
39,96.4800
40,95.7300
41,96.8800
42,96.5300
43,97.0700
44,96.7800
45,96.5700
46,96.5600
47,96.9800
48,96.0500
49,97.6600
50,97.2600
