round,accuracy
1,64.9700
2,86.3400
3,86.0300
4,87.9000
5,91.4100
6,91.7300
7,92.6200
8,90.9700
9,93.6400
10,92.4200
11,92.6700
12,91.8500
13,92.8300
14,93.6500
15,93.3900
16,93.1900
17,95.0500
18,94.0200
19,94.4700
20,95.1300
21,94.0300
22,95.9600
23,94.6400
24,94.9500
25,95.4100
26,93.9200
27,94.6200
28,95.8200
29,95.2500
30,95.2000
31,95.6100
32,95.8400
33,95.8600
34,96.0300
35,95.4000
36,95.4800
37,95.8200
38,95.8400
39,94.9200
40,96.0200
41,96.3300
42,96.4700
43,96.6800
44,95.7400
45,96.2200
46,96.6100
47,96.2100
48,95.9500
49,96.3400
50,96.1400
51,96.3500
52,95.3900
53,95.8800
54,96.7500
55,96.2200
56,97.0200
57,96.0500
58,96.4300
59,96.5500
60,96.9900
61,96.4900
62,97.1600
63,96.6700
64,96.9700
65,95.7500
66,97.4300
67,97.0800
68,97.6500
69,97.6200
70,97.8200
71,97.5900
72,97.2600
73,97.3700
74,97.4800
75,97.1900
76,97.2200
77,96.9900
78,96.1000
79,97.2100
80,97.8100
81,97.5400
82,97.5600
83,97.7500
84,97.4100
85,97.6100
86,97.3600
87,97.3300
88,96.6400
89,96.8300
90,97.1400
91,95.6500
92,97.4000
93,97.0800
94,97.3200
95,97.8100
96,97.2000
97,97.6300
98,97.6600
99,97.4900
100,97.2000
101,97.1800
102,97.5600
103,97.4200
104,95.3900
105,97.3500
106,97.9100
107,97.0600
108,98.2200
