round,accuracy
1,67.0000
2,84.3900
3,90.0000
4,91.1600
5,91.4000
6,91.8200
7,91.8700
8,92.7100
9,92.8500
10,93.3500
11,92.4000
12,91.8800
13,93.0100
14,94.1300
15,94.0100
16,94.2300
17,95.1600
18,94.2700
19,94.5000
20,95.0800
21,94.4400
22,95.0000
23,94.2200
24,93.3900
25,95.1800
26,95.5000
27,95.2200
28,96.0700
29,96.2800
30,95.7800
31,95.9900
32,96.0200
33,95.6100
34,96.4100
35,96.4500
36,95.2200
37,95.7800
38,96.4400
39,96.2900
40,96.3500
41,96.2100
42,96.3400
43,96.6000
44,96.6500
45,96.1500
46,96.4800
47,96.7400
48,96.2300
49,96.3200
50,95.9800
51,96.6700
52,96.8100
53,96.6400
54,96.7500
55,96.9200
56,96.8100
57,95.7200
58,96.4600
59,96.8300
60,96.0900
61,96.4100
62,96.2900
63,96.9500
64,96.7300
65,96.8300
66,97.2800
67,97.2200
68,97.3000
69,97.3800
70,96.7300
71,97.1700
72,95.9700
73,96.6700
74,97.0000
75,97.0500
76,96.2200
77,97.5200
78,97.4100
79,97.1800
80,97.4900
81,97.2100
82,95.9800
83,97.5100
84,96.3800
85,97.3400
86,97.3300
87,97.3300
88,97.4400
89,97.6800
90,97.5000
91,97.1600
92,97.3900
93,97.6300
94,96.5800
95,96.8600
96,97.0000
97,96.9100
98,97.5100
99,97.5100
100,97.0100
101,97.4500
102,97.7500
103,97.9500
104,97.5700
105,97.8600
106,97.7100
107,97.5400
108,97.0900
109,96.9300
110,97.5800
111,97.7900
112,97.8100
113,97.7100
114,97.7800
115,97.9300
116,97.5800
117,97.8300
118,97.7700
119,97.8000
120,97.4300
121,98.0700
