round,accuracy
1,56.7900
2,84.0500
3,87.4800
4,87.8100
5,91.5600
6,91.5400
7,91.3700
8,91.5300
9,93.5800
10,93.3000
11,94.1100
12,93.4800
13,94.2200
14,94.3800
15,94.4600
16,94.3800
17,95.2100
18,94.8600
19,94.9800
20,95.3600
21,94.6200
22,95.8200
23,95.3000
24,95.7700
25,95.3000
26,95.4500
27,95.7900
28,95.9500
29,96.3400
30,96.3600
31,96.3000
32,96.3800
33,96.2100
34,96.7600
35,96.1700
36,95.8500
37,96.5400
38,96.2200
39,96.0500
40,96.3000
41,96.5700
42,96.3500
43,96.6000
44,96.6000
45,96.3800
46,96.7600
47,96.4200
48,96.7700
49,96.5900
50,96.5700
51,97.0300
52,96.4200
53,97.0800
54,96.9000
55,96.6200
56,96.9900
57,96.1800
58,96.7000
59,96.8400
60,97.3300
61,96.7300
62,97.3000
63,97.4700
64,96.9100
65,96.3400
66,97.4800
67,97.4600
68,97.3000
69,97.8300
70,97.8100
71,97.6300
72,97.6500
73,97.6800
74,97.6600
75,97.2600
76,97.5200
77,97.5600
78,96.9600
79,97.6700
80,97.7500
81,97.6700
82,97.6700
83,97.7400
84,97.7300
85,97.6700
86,97.2800
87,97.3200
88,97.6000
89,97.6500
90,97.5900
91,96.5100
92,97.4500
93,97.5400
94,97.6700
95,97.7600
96,97.3100
97,97.6100
98,97.1200
99,97.5200
100,97.2900
101,97.5900
102,97.6700
103,97.8500
104,96.4900
105,97.7100
106,98.0600
