round,accuracy
1,64.9700
2,86.3400
3,85.8300
4,89.1900
5,91.7200
6,91.7300
7,92.2100
8,91.5400
9,93.6500
10,91.9600
11,93.0000
12,92.3200
13,92.5100
14,94.1400
15,94.2200
16,92.8100
17,95.4500
18,94.7500
19,94.4600
20,95.0400
21,94.6700
22,96.1700
23,94.8500
24,95.4000
25,95.5300
26,94.5300
27,94.6800
28,95.9700
29,95.6300
30,95.7200
31,95.5300
32,96.3400
33,95.9200
34,96.5100
35,96.1600
36,95.8300
37,95.9100
38,95.9600
39,94.7000
40,96.2900
41,96.1200
42,96.4600
43,96.7200
44,96.3700
45,96.2500
46,96.3800
47,95.8000
48,96.1300
49,96.3300
50,96.2300
51,96.6200
52,95.2700
53,96.4700
54,96.8300
55,96.0800
56,96.7800
57,96.3800
58,96.8200
59,97.0800
60,97.2200
61,96.4700
62,97.0000
63,97.3600
64,97.1700
65,95.8500
66,97.2100
67,97.4500
68,97.2300
69,97.2100
70,97.3700
71,97.5000
72,97.4800
73,97.2800
74,97.2400
75,97.3600
76,97.2700
77,97.3700
78,96.3500
79,97.7600
80,97.8000
81,97.8300
82,97.8000
83,97.7800
84,97.3700
85,97.5300
86,97.5800
87,97.2400
88,97.3700
89,96.6300
90,97.3500
91,95.9300
92,97.8300
93,97.4500
94,97.3400
95,97.6500
96,97.6300
97,97.8200
98,97.8500
99,97.3900
100,97.6400
101,97.7400
102,97.6900
103,97.6200
104,96.1300
105,97.7500
106,97.8700
107,97.3000
108,98.1700
