round,accuracy
1,82.8300
2,85.3600
3,88.7000
4,91.3900
5,90.2200
6,89.8700
7,89.6300
8,91.6300
9,93.1300
10,93.2400
11,93.1800
12,92.7400
13,89.6400
14,93.3300
15,94.6300
16,94.8600
17,94.7800
18,93.7100
19,93.4500
20,94.0100
21,94.7300
22,95.9400
23,94.7900
24,96.1600
25,95.5400
26,92.5000
27,95.9400
28,96.0400
29,96.6600
30,95.5200
31,95.9100
32,96.1000
33,96.4600
34,96.3600
35,96.6500
36,96.4900
37,96.7300
38,96.7300
39,93.7300
40,96.1600
41,96.6900
42,96.2100
43,96.9200
44,96.9600
45,96.5000
46,96.9600
47,95.0300
48,96.7400
49,96.7800
50,96.9400
51,96.3000
52,95.4100
53,96.2200
54,96.2400
55,96.2000
56,96.3800
57,96.9400
58,96.5400
59,97.4300
60,96.8600
61,97.0900
62,97.1900
63,96.7300
64,97.3500
65,94.8000
66,97.3200
67,96.9000
68,97.6200
69,97.6300
70,97.2100
71,96.5200
72,96.9200
73,97.3800
74,97.3900
75,97.5000
76,97.8000
77,97.4300
78,95.2900
79,97.7100
80,97.8800
81,97.8000
82,97.9600
83,97.8300
84,97.1600
85,96.9500
86,97.2800
87,97.3000
88,97.2800
89,97.6400
90,97.4900
91,95.0400
92,96.9200
93,97.4000
94,97.6800
95,97.7300
96,97.7200
97,97.9500
98,97.8200
99,98.0700
