round,accuracy
1,82.6600
2,84.1100
3,88.6000
4,90.6900
5,90.2700
6,90.5600
7,89.1400
8,91.6500
9,93.4700
10,93.2900
11,93.1700
12,93.5900
13,90.9600
14,93.7600
15,94.3800
16,94.5200
17,94.5300
18,93.6800
19,93.7600
20,94.1800
21,94.9200
22,95.3800
23,94.6100
24,96.1700
25,95.6100
26,94.4300
27,95.9000
28,95.5400
29,96.2000
30,95.4700
31,95.2000
32,95.5800
33,96.4400
34,96.0500
35,96.5700
36,95.5600
37,96.8100
38,96.5200
39,94.0600
40,96.8400
41,96.5600
42,95.4300
43,97.0000
44,96.9700
45,96.9400
46,97.1900
47,95.6800
48,96.7200
49,96.7600
50,96.5000
51,96.2100
52,95.9900
53,96.4300
54,96.3400
55,96.3800
56,96.5000
57,96.6600
58,96.7600
59,97.0500
60,96.5900
61,96.9900
62,96.5700
63,96.5500
64,96.9100
65,93.7100
66,97.4600
67,97.1900
68,97.6200
69,97.4600
70,97.2700
71,96.9900
72,97.3400
73,97.3100
74,97.6500
75,97.6100
76,97.7500
77,97.0600
78,96.5100
79,97.8100
80,97.9600
81,97.7200
82,97.8900
83,97.7700
84,97.8800
85,96.7000
86,97.2800
87,97.5900
88,97.5900
89,97.8500
90,97.8100
91,96.6800
92,97.6100
93,97.1200
94,97.7700
95,97.7100
96,98.0000
