round,accuracy
1,64.0600
2,60.0200
3,79.4600
4,72.0000
5,83.0700
6,76.9200
7,80.2800
8,88.7300
9,81.2300
10,85.3800
11,86.4800
12,89.7500
13,85.7200
14,81.8100
15,88.7300
16,89.1700
17,89.2300
18,88.2200
19,90.8000
20,87.9800
21,88.7500
22,89.0400
23,86.0100
24,88.0300
25,89.8700
26,89.2300
27,90.4800
28,88.8900
29,90.1600
30,90.2800
31,91.7200
32,91.1600
33,91.5400
34,91.4000
35,91.8000
36,91.7900
37,91.0600
38,90.5500
39,92.9000
40,91.7400
41,89.5400
42,91.9100
43,92.2500
44,91.8000
45,92.4000
46,91.5900
47,93.6500
48,92.8600
49,92.1900
50,92.6600
51,93.1500
52,92.9800
53,90.7300
54,92.2100
55,94.2200
56,91.5900
57,92.7300
58,93.5700
59,93.3000
60,93.2300
61,93.5200
62,93.2100
63,93.6800
64,94.1300
65,93.3500
66,92.3500
67,93.5500
68,93.7400
69,94.4000
70,93.8100
71,93.6000
72,93.5800
73,93.8200
74,91.9500
75,94.2500
76,93.4300
77,93.6500
78,92.5000
79,93.3100
80,93.9200
81,93.9800
82,93.1500
83,91.5400
84,94.8100
85,93.9300
86,93.0100
87,94.2800
88,93.3400
89,94.5200
90,93.5200
91,94.7400
92,93.0900
93,94.5500
94,94.2800
95,93.4900
96,95.0000
