round,accuracy
1,44.6600
2,40.8000
3,39.5800
4,40.8900
5,31.1100
6,34.8200
7,43.5200
8,51.1800
9,46.1600
10,50.6000
11,53.8000
12,51.9500
13,54.4400
14,57.7400
15,48.6400
16,60.7500
17,52.1900
18,53.5200
19,51.7500
20,53.4100
21,61.7100
22,66.1500
23,69.7000
24,61.6300
25,59.8900
26,65.3600
27,71.7500
28,64.0800
29,69.0300
30,54.2000
31,68.3000
32,69.0800
33,69.9500
34,67.0900
35,66.3700
36,66.6100
37,63.3600
38,72.8800
39,65.3000
40,65.5500
41,62.5400
42,68.6700
43,64.9300
44,72.5400
45,60.2000
46,64.4300
47,63.9800
48,57.7900
49,67.8300
50,63.7300
51,67.8000
52,70.6300
53,72.8700
54,72.8100
55,74.9100
56,67.4200
57,71.3200
58,73.2200
59,67.4000
60,73.3800
61,75.6400
62,73.1600
63,68.3300
64,66.8200
65,71.9500
66,70.1100
67,71.9100
68,70.3700
69,74.9000
70,69.0300
71,69.3500
72,69.6800
73,69.5800
74,69.3200
75,71.6200
76,70.2300
77,74.9200
78,73.0700
79,69.6700
80,76.3800
81,75.3800
82,68.2000
83,76.4300
84,70.6300
85,72.1900
86,68.9300
87,69.8400
88,72.1000
89,73.8500
90,73.1700
91,69.8500
92,69.4200
93,71.4700
94,66.9400
95,72.7700
96,72.3100
97,71.7000
98,74.2400
99,70.7000
100,69.4100
101,71.7400
102,75.4100
103,75.4700
104,74.5800
105,74.5200
106,74.6400
107,75.4600
108,74.5200
109,75.6900
110,75.5200
111,74.9600
112,75.8800
113,74.0400
114,70.8100
115,72.6600
116,75.2700
117,69.1800
118,72.5200
119,71.5900
120,68.8700
121,70.2500
122,68.4400
123,73.2300
124,74.2800
125,73.5400
126,74.1500
127,74.0000
128,73.0900
129,73.6600
130,69.2200
131,72.2000
132,72.0700
133,71.8100
134,66.1100
135,71.3900
136,69.0700
137,72.2900
138,67.8500
139,71.9900
140,71.4300
141,71.4200
142,71.2100
143,71.3100
144,73.7900
145,73.4500
146,70.6000
147,70.6300
148,73.9300
149,73.3800
150,70.4900
151,74.0200
152,69.3500
153,73.3300
154,73.4300
155,74.0200
156,73.5800
157,71.6000
158,69.9900
159,68.1500
160,67.5200
161,70.8100
162,68.1600
163,70.4200
164,68.6300
165,72.0000
166,72.4300
167,69.8000
168,70.6100
169,69.7700
170,70.1500
171,70.9500
172,69.0000
173,68.9200
174,68.5200
175,74.4900
176,70.9300
177,69.8500
178,70.9400
179,70.3000
180,70.6200
181,69.0900
182,72.9300
183,68.8700
184,73.0700
185,70.9700
186,73.4100
187,70.0100
188,68.1800
189,70.8900
190,71.6600
191,73.0400
192,73.5000
193,72.3500
194,70.5100
195,71.7700
196,70.7200
197,71.1700
198,66.0200
199,68.1900
200,65.1500
