round,accuracy
1,84.8500
2,86.7200
3,89.2300
4,90.5700
5,93.4500
6,92.4700
7,94.1900
8,93.8700
9,94.0500
10,94.5600
11,95.1600
12,94.0100
13,94.9400
14,95.3800
15,95.4600
16,95.2600
17,96.0400
18,94.6100
19,95.2500
20,96.0600
21,96.1800
22,96.5400
23,96.7500
24,96.2700
25,96.7400
26,95.7500
27,96.0600
28,96.4900
29,96.0300
30,96.6800
31,97.0100
32,97.2100
33,96.2800
34,97.2000
35,97.3900
36,96.0300
37,96.9700
38,97.4100
39,96.9500
40,96.8700
41,97.5000
42,97.0100
43,97.6700
44,96.9300
45,97.4200
