round,accuracy
1,74.3400
2,91.0400
3,91.8900
4,91.1100
5,91.4800
6,89.7400
7,92.7600
8,94.3600
9,93.1200
10,94.8900
11,94.0800
12,94.6300
13,95.3400
14,94.5900
15,94.6000
16,94.6900
17,95.2000
18,95.7100
19,96.0600
20,95.8000
21,95.3900
22,95.6300
23,95.5800
24,95.1200
25,95.1400
26,96.5200
27,96.2000
28,96.9500
29,96.4000
30,96.6000
31,95.8800
32,96.7100
33,96.8000
34,96.7600
35,96.0300
36,95.5300
37,96.7100
38,97.4500
39,96.7600
40,96.3900
41,97.1900
42,96.4700
43,97.4000
44,96.8600
45,96.9700
46,97.0100
47,97.3300
48,96.9200
49,96.9200
50,97.2900
