round,accuracy
1,85.4800
2,85.2700
3,88.2100
4,92.8500
5,93.1200
6,93.5900
7,95.0000
8,95.9400
9,95.9100
10,96.5600
11,96.4700
12,96.3800
13,96.5600
14,96.7800
15,96.6000
16,96.8300
17,96.6600
18,96.6500
19,97.2200
20,96.9900
21,97.6700
22,97.0500
23,97.1600
24,97.2800
25,97.3900
26,97.1600
27,97.3900
28,97.5700
29,97.4000
30,97.1000
31,97.7200
32,97.4500
33,97.6400
34,97.7300
35,97.6000
36,97.3500
37,97.9700
38,97.8300
39,98.0300
40,97.8400
41,98.0900
42,98.2400
43,98.1800
44,97.8600
45,98.2100
1,80.4000
2,90.8700
3,92.5200
4,94.7600
5,94.5200
6,94.7000
7,95.3500
8,94.9700
9,95.4800
10,96.1300
11,96.2100
12,96.7100
13,96.4100
14,96.0800
15,96.5400
16,96.9700
17,96.9000
18,96.7600
19,97.1100
20,97.2200
21,97.5300
22,97.2700
23,97.1200
24,97.3800
25,97.4100
26,97.4900
27,97.0900
28,97.3900
29,96.7000
30,97.1600
31,97.2800
32,97.5600
33,97.4200
34,97.5100
35,97.6500
36,97.4300
37,97.6000
38,97.4300
39,97.6700
40,97.6000
41,97.6800
42,98.0200
43,97.9200
44,97.8000
45,98.3200
46,97.9200
47,98.3000
48,97.8700
49,96.8700
50,97.3500
