round,accuracy
1,49.8600
2,79.6800
3,49.8600
4,79.6800
5,81.8800
6,84.0500
7,81.2700
8,79.5700
9,85.2300
10,87.5700
11,86.9900
12,87.2100
13,90.1200
14,89.3800
15,88.0100
16,89.0100
17,91.1300
18,91.0600
19,91.1700
20,90.3200
21,90.0100
22,91.2400
23,91.5500
24,90.8900
25,92.3400
26,91.0200
27,85.7200
28,91.8800
29,92.1900
30,89.4200
31,92.5900
32,92.0900
33,90.9200
34,91.4000
35,92.2000
36,91.4200
37,92.6900
38,91.3100
39,91.9600
40,92.4300
41,90.5300
42,93.2800
43,93.0100
44,91.7700
45,93.1700
46,90.8100
47,92.6200
48,91.4000
49,93.7800
50,92.8000
51,93.7100
52,91.8900
53,93.9800
54,93.6800
55,93.8700
56,92.7400
57,93.2200
58,93.0400
59,93.9500
60,93.4200
61,92.2700
62,92.7800
63,94.1400
64,93.8600
65,94.3000
66,93.5500
67,94.2500
68,93.7500
69,94.5600
70,94.4700
71,93.8000
72,95.0800
