round,accuracy
1,57.2400
2,61.1600
3,76.4200
4,63.5200
5,75.0000
6,80.0900
7,88.2000
8,77.6000
9,86.0200
10,82.7900
11,89.8600
12,81.8500
13,83.7400
14,88.7700
15,81.7300
16,87.6100
17,86.9500
18,90.3500
19,89.5700
20,86.7700
21,92.0000
22,87.0100
23,85.8200
24,92.4600
25,90.0200
26,87.7700
27,90.1600
28,92.4100
29,91.6100
30,88.0200
31,89.9800
32,93.6300
33,89.2800
34,91.0400
35,90.7900
36,91.2800
37,93.8700
38,89.4900
39,91.8500
40,91.1200
41,92.2400
42,92.3300
43,91.0500
44,93.7900
45,91.5200
46,90.1300
47,88.4200
48,94.6800
49,92.9200
50,89.6800
51,92.1900
52,94.3500
53,92.0500
54,92.1100
55,93.5000
56,93.6900
57,92.9800
58,93.8300
59,92.6300
60,91.4600
61,93.6000
62,92.2400
63,94.1800
64,91.8400
65,94.4300
66,92.8000
67,94.6300
68,92.8000
69,94.3400
70,93.2600
71,93.9500
72,91.0100
73,92.8000
74,92.9800
75,91.9800
76,94.1800
77,93.7300
78,92.1700
79,93.8100
80,93.0700
81,93.3500
82,93.7000
83,90.4700
84,94.8800
85,92.5700
86,93.8900
87,94.8100
88,93.9700
89,91.7000
90,92.2900
91,91.5500
92,94.3000
93,94.3900
94,92.9200
95,94.3300
96,94.7500
97,93.8200
98,95.1500
